Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
ruffhouse53,-86.98,270,24.56,9.02,33.33,33.33,16.67,50,30.36,8.93,11.11,0,0,0,0,68.18,72.22,66.67,100,33.33,16.67,18.18,40,33.33,11.76,50,3.45,0,62.5,26.32,35.29,25
drjimmyjames,-27.97,265,25.95,28.57,0,0,87.5,12.5,63.25,4.27,2.7,0,0,0,0,100,100,93.75,100,31.43,14.29,6.25,38.89,66.67,4.26,50,10.53,3.33,74.07,10.53,49.25,50
rishi daddy,137.09,265,36.51,1.34,71.43,0,75,25,40.22,9.89,4.17,0,27.27,0,0,100,100,85.71,71.43,14.29,5.71,0,19.23,22.22,14.29,25,8.82,0,82.35,33.33,63.46,41.67
Guimp,-207.49,263,39.84,13.43,71.43,0,100,0,56.78,6.78,4,0,15,28.57,0,86.96,90,78.57,100,29.58,14.08,22.73,32.65,50,13.79,0,0,2.7,50,19.05,37.29,40
rontani,6.62,252,28.45,9.02,50,66.67,0,33.33,37.5,12.5,19.23,0,16.67,0,0,65.38,70.59,55.56,75,29.73,16.22,28.57,30.43,0,10.34,0,26.83,9.09,100,40,56.1,0
tigerca,-27.23,250,32.14,3.23,41.67,16.67,66.67,16.67,25,5.36,5.41,0,25,0,0,89.29,100,86.67,50,57.69,30.77,28.57,68.42,0,14.29,0,13.33,0,88.89,50,57.14,
a.v.kopli,330.41,249,28.13,2.7,100,40,40,20,23.73,16.95,28,0,0,7.14,0,89.66,100,60,83.33,14.29,7.14,7.69,20,0,27.27,0,0,0,100,50,65.85,83.33
akd750i,-167.93,248,27.34,22.73,30.77,0,100,0,68.37,6.12,9.52,0,33.33,0,0,80.77,91.67,70,100,29.27,14.63,0,34.29,25,3.03,0,15.79,4.35,40,14.29,31.58,
angelomain,-111.22,247,15.75,17.83,26.32,0,83.33,16.67,45.87,4.59,5.71,0,25,0,0,71.43,66.67,85.71,80,22.45,8.16,0,28.21,33.33,11.11,50,10,0,63.64,25,44.9,33.33
Uhadmebeat,-67.93,244,27.82,10.67,53.33,33.33,50,16.67,34.57,7.41,15.38,0,0,0,0,92.31,95,100,66.67,44.44,11.11,33.33,50,0,0,0,21.74,18.18,66.67,16.67,50,25
bandita747,19.08,242,29.31,3.2,45.45,0,25,75,32.67,11.88,6.9,0,10,33.33,0,76.92,80,80,50,18.42,7.89,0,25.93,0,0,0,6.67,0,72.73,20,50,33.33
