Player,Hands,XR Flop,XR Flop HU,XR Total,Fold to F XR
aras portela,1541,9.43,14.81,9.09,50.00
Dexstar555,1541,19.05,12.50,18.75,
igorlekroo,1541,15.38,23.08,10.26,50.00
Reiarturo,1537,11.11,18.18,6.25,33.33
msllms,1536,19.61,18.18,18.92,12.50
atredezini,1533,13.64,10.34,9.33,50.00
vitor762,1533,4.65,4.17,6.35,37.50
johnyguedes1,1532,9.62,11.76,7.32,100.00
mutúca,1532,13.64,24.24,10.75,14.29
Leqteezy,1531,7.69,10.00,6.49,50.00
pgremio,1530,11.76,13.64,7.41,33.33
Dushanin_A.A,1529,9.38,4.55,9.62,16.67
Ghedinin,1526,22.95,31.71,16.48,50.00
RicardoForti,1525,9.80,5.88,6.59,66.67
Yeti820,1524,7.14,11.76,8.70,33.33
RenatoGomide,1520,4.35,3.33,4.76,83.33
Michal_N°11,1519,14.29,17.39,7.81,25.00
Go_coll_me_men,1512,13.79,21.05,10.00,50.00
pokalsasha,1511,20.41,27.59,13.16,42.86
Dmitry5000,1509,29.73,34.78,22.22,
DisarmingREG,1509,13.46,13.16,12.86,100.00
Derderaswer,1508,2.17,5.00,2.35,40.00
binhoeiji,1507,8.70,7.41,6.45,66.67
LucasIglesia,1506,17.46,27.27,14.12,66.67
Cashtane,1506,7.69,10.53,7.89,66.67
Núbia,1503,5.88,11.76,5.36,50.00
acetrenb,1502,21.74,19.05,18.31,75.00
AdyJunior,1492,9.80,8.33,8.45,25.00
DSM09,1491,3.77,3.45,3.66,50.00
santiga,1490,13.46,20.69,9.72,40.00
felipefl,1489,23.64,40.00,16.67,58.33
fishvictordd,1487,14.00,20.00,10.77,50.00
Williaml666,1484,6.98,11.11,6.25,33.33
AAdiniz,1483,2.44,0.00,1.67,50.00
Guialves27,1483,17.14,22.50,14.14,25.00
fernandoefv,1483,5.71,8.11,4.00,20.00
_Miazakii_,1481,12.50,17.65,9.43,50.00
xNalikx,1479,9.68,12.50,10.64,0.00
fmrsmurilo,1478,23.26,25.00,20.34,40.00
MastaManson,1473,9.38,18.75,7.32,100.00
fcyber,1471,2.94,4.76,5.17,33.33
tschepetoo,1469,13.33,33.33,9.09,
jeffwalkerbr,1468,25.00,29.03,22.22,83.33
rafaprihl,1464,12.07,18.18,9.88,12.50
tismor,1463,17.07,13.64,13.33,42.86
cezinhaaaaaa,1463,22.50,26.92,16.22,28.57
KKARMELO,1463,3.03,5.88,5.77,50.00
Damiao MV,1461,10.34,10.53,7.50,0.00
GoTelesGO,1460,22.92,20.00,14.81,70.00
filiperonan,1460,12.50,18.18,10.81,75.00
aToMz0r1g,1458,18.18,23.81,15.91,50.00
mendamaster9,1452,15.91,26.09,9.86,64.29
goomes,1452,13.11,14.71,10.34,50.00
Linkin Batu,1451,0.00,0.00,2.63,100.00
zenhahs,1450,15.52,16.13,16.47,28.57
bruna_bsb,1449,13.73,15.79,8.43,50.00
Renattoporto,1446,5.88,0.00,3.92,33.33
Spliff505,1446,20.00,27.59,15.07,50.00
Otizhaj,1444,26.53,28.57,19.72,28.57
losos007,1444,5.17,6.06,3.90,0.00
BrunoV Bueno,1443,18.60,19.35,13.33,25.00
Iia007,1442,9.52,10.34,8.06,83.33
Joabe ;D,1441,20.93,26.92,14.29,25.00
fullTaconi,1438,21.05,26.47,18.92,50.00
ronja89,1434,8.00,10.53,8.82,0.00
jr_stroke,1431,9.09,10.53,9.26,57.14
Genadych,1430,19.23,20.00,15.38,
likethisgame,1428,20.00,35.71,14.29,0.00
leoduarte13,1425,16.98,38.10,13.92,37.50
marcosaoke,1423,27.59,33.33,21.43,25.00
raul isiara,1422,8.33,9.38,5.80,28.57
VERNIERGANJA,1422,6.25,0.00,4.35,20.00
Rafael_Saad,1421,21.28,26.67,15.07,0.00
Evan998,1421,12.00,3.70,12.82,0.00
burianjpb,1420,14.63,27.78,11.29,100.00
Giusseppepb,1420,22.50,30.43,16.13,0.00
sennen cove,1419,4.76,7.41,3.51,0.00
_nikita555123,1418,37.93,56.25,24.44,50.00
RUNGOODYEAH,1418,0.00,0.00,0.00,0.00
luucaspaaz,1417,7.69,10.00,9.09,40.00
Vouticontar,1416,12.00,17.24,11.27,66.67
StudentRB,1412,6.45,11.11,6.98,50.00
Le_Blem11,1407,9.09,14.29,7.46,50.00
bobishelton,1406,15.00,13.64,13.21,0.00
nego_pc,1404,12.24,10.34,7.89,50.00
tinchogava,1402,7.84,9.68,6.25,50.00
michel_ah89,1401,5.45,7.41,9.09,0.00
mantovan2,1400,13.51,22.73,12.28,71.43
occasionem,1395,18.18,14.29,14.00,25.00
PoKeRaRcSuNY,1392,11.76,22.73,9.59,0.00
XCIPI,1391,10.81,16.67,14.89,50.00
lfkamu,1391,16.07,18.75,10.84,33.33
DarkSkies21,1389,13.46,14.29,12.20,50.00
dinamas,1387,13.33,28.57,10.20,0.00
Henriqueomar,1386,20.00,16.67,14.04,80.00
Brunopoker94,1385,20.00,17.50,20.21,33.33
aksvsako,1384,12.07,12.90,10.26,28.57
valery ganev,1382,8.57,11.11,8.20,25.00
macabricio77,1377,13.04,13.33,10.61,0.00
luigy666,1377,6.25,6.25,7.41,75.00
mauricioj100,1376,9.09,8.82,8.97,50.00
RandyZerg,1376,8.51,15.38,7.23,77.78
Flmatta88,1375,20.75,28.57,13.10,33.33
rmpkrbr,1373,10.00,0.00,6.15,40.00
andmatos97,1372,8.70,8.57,11.11,20.00
0SilverTeam,1370,15.91,16.00,12.90,25.00
youssef fern,1368,23.40,23.08,19.40,
ThalleSx,1368,25.00,47.83,19.35,66.67
N9torious,1367,8.89,4.00,11.27,25.00
Robson_js3,1365,2.17,4.17,6.67,20.00
xivitz9,1364,10.91,14.71,8.75,0.00
tenentelima,1364,10.00,5.88,7.50,50.00
jjvv77,1364,9.76,12.50,9.26,0.00
moinha82,1363,12.50,11.54,7.94,33.33
MathiasFer,1362,11.48,10.34,11.24,50.00
deviltmn,1362,0.00,0.00,0.00,50.00
DouglasCRB,1361,23.81,30.43,20.34,0.00
PerryFace,1357,7.50,13.04,9.52,0.00
flonke,1355,18.18,7.69,14.29,100.00
