Player;Hands;VPIP;PFR;PFR/VPIP;3Bet PF;CBet F;Flop AF;Flop AFq;Fold to F CBet;Fold to F Bet;CBet T;Turn AF;Turn AFq;Fold T Bet;River AF;River AFq;Fold R Bet;Att To Steal (LP);Fold to Steal;3Bet Steal;3Bet Steal (SB);3Bet Steal (BB);Total AF;Total AFq;WSD;WTSD %;WWSF;Call R & WSD;Bet R & WSD;BB/100;My C Won;Call PF 3Bet;Limp;3Bet F XR;3Bet R;4Bet PF;3Bet BB v SB;XR Flop;XR River;XR Turn;Limp/Raise;Raise F CBet;Raise F CBet (3B);Raise F CBet (non-3B);Raise F Float;Raise First;Raise R CBet;Raise T CBet;Stole;Bet R;Call R Bet;Call R XR;CBet R;Fold R Bet;Fold to R 2Bet;Fold to R 3Bet;Fold to R 4Bet+;Fold to R XR;Fold to R Donk;CBet R & Fold;Raise R CBet;Call R Eff;Saw River;Saw River %;WSDWRR;Bet R & WSD;CBet T & Fold;CBet T & Fold (3B);CBet T & Fold (non-3B);Fold to T CBet;Fold to T XR;Raise T CBet;WSDWRT
str8flush168;466;60;18.95;31.52;6.98;71.88;1.05;42.59;20;29.5;67.86;1.13;43.32;33.67;2;46.03;54.55;38.71;28.57;0;0;0;1.21;43.58;43.7;42.05;34.98;20.69;71.05;-15.86;-147.84;48.39;33.33;37.5;20;27.59;0;5.88;0;3.7;4.17;14.12;20;12.86;0;25;0;0;18.75;41.09;39.39;;45.45;54.55;60;0;;;0;0;0;2.06;172;77.48;60;71.05;0;0;0;27.78;0;0;60
1234asos;456;36.78;3.76;10.18;2.53;54.55;0.24;11.72;40.96;45.3;83.33;0.77;32.08;30.99;0.86;32.76;37.21;4.65;59.57;4.26;6.25;3.23;0.51;22.65;68.18;26.04;31.36;47.62;71.43;-3.02;-82.66;51.61;34.07;0;0;0;0;0;11.11;13.33;0;2.41;6.67;1.47;0;4.81;15.79;15.15;0;26.67;46.51;100;0;37.21;33.33;;;0;0;;15.79;4;70;63.64;100;71.43;;;;9.09;40;15.15;85.71
elvirto;449;28.96;20.96;71.88;11.24;83.64;1.82;54.62;36.11;38;73.08;2.05;47.78;50;1.67;53.57;31.82;40;67.24;10.34;10.71;10;1.85;52.17;58.49;41.09;41.09;27.78;66.67;-2.04;-70.55;30.91;2.29;20;0;7.27;9.09;9.52;0;5;;22.22;37.5;10;;35.42;0;25;2.56;57.45;59.09;100;84.62;31.82;16.67;0;;0;0;0;0;3.96;67;69.07;100;66.67;40;25;100;41.67;25;25;71.43
TTBN;436;32.95;16.86;51.05;6.82;91.89;0.97;38.41;26.79;34.12;56.52;1.73;51.72;29.55;2.07;47.54;50;31.58;50.94;7.55;13.64;3.23;1.32;44.15;58.49;36.81;38.19;50;82.35;0.82;16.35;48.98;7.17;0;0;4.08;8.33;12.77;0;0;0;21.43;9.52;28.57;0;28.22;10;23.81;15.79;42.37;41.18;;44.44;50;100;0;;;0;;10;3.58;78;75;66.67;82.35;100;;100;23.81;100;23.81;60
missakk12345;434;50.35;23.47;46.51;12.28;68.09;0.68;35.55;16.22;17.69;57.14;1.07;43.75;19.35;1.57;50.43;32.79;33.33;26.67;17.78;27.78;11.11;0.95;41.7;50.93;51.18;42.65;13.51;80.56;-0.48;-3.27;67.95;11.01;14.29;25;9.33;12.5;12.86;4;25;0;15.32;21.57;10;;35.1;15;20.41;9.38;46;52.46;50;80;32.79;0;0;;0;0;0;15;0.81;138;80.23;60;80.56;;;;20.41;50;20.41;73.33
aries d;426;32.07;3.12;9.63;1.5;71.43;0.87;32.04;39.13;43.33;100;1.61;40.22;56.52;1.91;52.5;35.29;5.88;76.19;2.38;4.17;0;1.26;38.72;56.82;30.99;35.92;63.64;72.73;-7.21;-53.25;19.15;45.45;0;0;0;0;0;0;0;0;0;0;0;;5.43;25;10;20;43.48;58.82;;0;35.29;66.67;;;;0;;25;8.13;59;59;100;72.73;66.67;100;0;30;33.33;10;75
jacks292001;425;59.52;22.76;38.06;4.05;85;0.68;32.89;23.14;23.97;72.22;0.9;34.36;36.63;0.97;35.56;42.37;42.03;23.68;2.63;5.56;0;0.8;33.89;55.56;37.34;36.51;27.27;84.21;-8.79;-149.38;85;18.03;28.57;0;1.79;0;10.23;0;6.25;0;10.74;12.5;9.59;100;40.21;7.14;6.25;24.24;30.68;49.15;;62.5;42.37;0;0;;;;;7.14;1.9;123;67.21;60;84.21;100;;100;31.25;100;6.25;100
poshlivi1972;421;28.12;9.8;34.78;8.05;96;1.02;40;22.92;30;88.24;1.37;49.4;30.77;2.17;52;44;10;50;8.33;6.45;10.34;1.31;45.68;60;41.67;44.17;25;77.78;3.02;15.16;33.33;10.63;;0;8.57;12.5;2.38;0;4.76;0;4.17;11.11;2.56;;11.92;12.5;16.67;7.69;44.44;48;;57.14;44;100;;;;;;12.5;1.77;67;75.28;50;77.78;0;0;0;16.67;0;16.67;80
181385;418;40.93;18.18;44.31;5.19;50;0.9;38.26;26.67;32.93;75;1;42.62;27.59;1.09;44.44;24.44;34.18;54.05;2.7;6.25;0;0.98;41.19;50.67;44.64;42.86;30.3;77.78;5.79;48.38;33.33;16.59;50;0;29.27;0;6.12;0;0;10;8.89;22.22;5.56;0;31.11;0;15;20.59;42.47;64.44;100;33.33;24.44;20;;;0;0;0;0;2.27;101;77.69;100;77.78;0;0;0;20;0;15;50
hooverr;414;39.36;25.56;64.78;7.25;65.08;0.89;39.01;26.23;27.4;62.5;1.32;49.53;21.82;1.2;43.37;33.33;37.37;41.38;6.9;8.33;5.88;1.09;43.5;55.07;45.1;43.79;33.33;83.33;-1.25;-31.03;54.35;1.27;0;25;9.09;0;12.24;0;26.67;0;9.84;9.09;10.26;0;39.45;9.09;34.62;23.4;51.52;64.44;;40;33.33;50;;;;0;;9.09;2.36;95;79.83;100;83.33;0;0;0;11.54;0;34.62;64.29
jamie2000;413;42.05;22.55;53.49;9.39;88.89;1.43;49.4;24.36;26.44;69.57;1.53;51.79;30.19;1.07;42.47;30.95;42.25;38.64;18.18;18.18;18.18;1.38;48.73;53.03;40;47.27;31.03;71.43;10.02;227.35;53.23;6.67;22.22;33.33;5;11.11;27.08;0;0;0;24.36;29.03;21.28;;39.04;0;20.69;18.42;44.44;64.29;100;85.71;30.95;0;;;0;;0;0;3.22;86;72.88;100;71.43;0;0;0;31.03;0;20.69;50
Boss Hart;413;32.84;15.31;46.62;4.86;91.67;1.5;47.01;36.84;37.29;77.42;2.61;56.63;45.71;0.84;42;14.29;33.82;53.85;2.56;5.56;0;1.54;49.06;54.55;40.15;44.53;32;76.92;3.71;30.63;28.13;9.01;0;0;9.38;0;0;0;22.22;0;5.26;14.29;3.23;0;25.56;0;25;12.5;41.18;85.71;;50;14.29;0;;;;0;0;0;2.22;67;68.37;;76.92;0;0;0;43.75;0;25;50
HAWKER73;413;34.47;9.71;28.17;1.27;83.33;0.81;29.58;43.55;48.35;50;1.73;43.68;48.08;2.67;59.26;36.36;16.13;38.89;1.85;0;3.85;1.3;39.58;70.83;30.19;37.74;45.45;95.45;7.26;59.99;45;17.19;0;20;0;0;1.69;0;12.5;0;3.23;0;3.77;;18.65;0;35;0;50;45.45;100;60;36.36;40;;;0;0;;0;3.02;64;60.95;100;95.45;0;0;;30;;35;100
